Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
New York (State). Metropolitan Transportation Authority,10,New York (State). Metropolitan Transportation Authority. Arts for Transit,http://id.loc.gov/authorities/names/no97067009,86%,New York (State). Metropolitan Transportation Authority. Corporate Compliance,http://id.loc.gov/authorities/names/no2011097113,83%,New York (State). Metropolitan Transportation Authority. Bus Company Committee,http://id.loc.gov/authorities/names/no2009201777,83%,
"Sistemas de Informacin Geogrfica, S.A. de C.V.",9,,,,,,,,,,
"Garmin International, Inc.",9,Garmin (Firm),http://id.loc.gov/authorities/names/n2002125208,46%,,,,,,,
Research and Innovative Technology Administration's Bureau of Transportation Statistics (RITA/BTS),8,,,,,,,,,,
World Wildlife Fund,7,World Wildlife Fund UK,http://id.loc.gov/authorities/names/n86869446,93%,World Wildlife Fund--Kenya,http://id.loc.gov/authorities/names/n81151734,84%,World Wildlife Fund--India,http://id.loc.gov/authorities/names/n84086552,84%,
Instituto Geografico Militar,7,Instituto Geográfico Militar y Cadastral (Colombia),http://id.loc.gov/authorities/names/n2014011306,68%,Instituto Geográfico Militar (Ecuador). Sección Geográfica,http://id.loc.gov/authorities/names/n50066796,63%,Instituto Geográfico Militar (Argentina). Dirección General,http://id.loc.gov/authorities/names/no2014023746,62%,
DMTI Spatial Inc.,5,DMTI Spatial Inc.,http://id.loc.gov/authorities/names/n2011078924,100%,,,,,,,
Global Change Department National Institute of Public Health and Environmental Protection,5,,,,,,,,,,
"U.S. Department of Commerce
Bureau of the Census
Geography Division",5,,,,,,,,,,"U.S. Department of Commerce, U.S. Census Bureau, Geography Division (90%); U.S. Department of Commerce, Census Bureau, Geography Division (90%); U.S. Department of Commerce, Census Bureau (70%); Department of Commerce, Census Bureau, Geography Division (70%); U.S. Department of Commerce, Census Bureau, Esri (64%); U.S. Census Bureau, Geography Division (60%)"
New York City Housing Authority,4,New York City Housing Authority,http://id.loc.gov/authorities/names/n82052584,100%,New York City Housing Authority. Police Department,http://id.loc.gov/authorities/names/n86076598,77%,New York City Housing Authority. Executive Department,http://id.loc.gov/authorities/names/no2002013420,74%,
"Economic and Social Research Institute (Reston, Va.)",4,"Economic and Social Research Institute (Reston, Va.)",http://id.loc.gov/authorities/names/no94008104,100%,,,,,,,
Federal Railroad Administration (FRA),4,United States. Federal Railroad Administration,http://id.loc.gov/authorities/names/n79114219,75%,DOT-VNTSC-FRA,http://id.loc.gov/authorities/names/n97109146,28%,DOT/FRA/ORD,http://id.loc.gov/authorities/names/n97108895,25%,
U.S. Geological Survey in cooperation with U.S. Environmental Protection Agency,4,,,,,,,,,,
National Institut of Cartography and Remote Sensing (INCT),4,,,,,,,,,,
Geographical Survey Institute,4,Kokudo Chiriin,http://id.loc.gov/authorities/names/n79093857,28%,Chiri Chōsajo,http://id.loc.gov/authorities/names/n79093853,19%,,,,
Sudan National Survey Authority,4,Sudan. National Survey Authority,http://id.loc.gov/authorities/names/no2012129999,98%,,,,,,,
"U.S. Geological Survey (USGS), EROS Data Center",4,,,,,,,,,,U. S. Geological Survey EROS Data Center (88%)
Chief Directorate Surveys and Mapping,4,South Africa. Chief Directorate: Surveys and Mapping,http://id.loc.gov/authorities/names/no2005062707,83%,South Africa. Directorate of Surveys and Mapping,http://id.loc.gov/authorities/names/n84082993,78%,South Africa. Directorate of Mapping,http://id.loc.gov/authorities/names/n95099369,60%,
