ID,Type,URL,Label
bsi_2023_parcelmap_39_oh,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_39_oh.zip,
bsi_2023_parcelmap_39_oh,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-39-oh,
bsi_2023_parcelmap_40_ok,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_40_ok.zip,
bsi_2023_parcelmap_40_ok,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-40-ok,
bsi_2023_parcelmap_41_or,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_41_or.zip,
bsi_2023_parcelmap_41_or,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-41-or,
bsi_2023_parcelmap_42_pa,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_42_pa.zip,
bsi_2023_parcelmap_42_pa,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-42-pa,
bsi_2023_parcelmap_44_ri,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_44_ri.zip,
bsi_2023_parcelmap_44_ri,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-44-ri,
bsi_2023_parcelmap_45_sc,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_45_sc.zip,
bsi_2023_parcelmap_45_sc,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-45-sc,
bsi_2023_parcelmap_46_sd,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_46_sd.zip,
bsi_2023_parcelmap_46_sd,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-46-sd,
bsi_2023_parcelmap_47_tn,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_47_tn.zip,
bsi_2023_parcelmap_47_tn,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-47-tn,
bsi_2023_parcelmap_48_tx,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_48_tx.zip,
bsi_2023_parcelmap_48_tx,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-48-tx,
bsi_2023_parcelmap_49_ut,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_49_ut.zip,
bsi_2023_parcelmap_49_ut,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-49-ut,
bsi_2023_parcelmap_50_vt,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_50_vt.zip,
bsi_2023_parcelmap_50_vt,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-50-vt,
bsi_2023_parcelmap_51_va,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_51_va.zip,
bsi_2023_parcelmap_51_va,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-51-va,
bsi_2023_parcelmap_53_wa,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_53_wa.zip,
bsi_2023_parcelmap_53_wa,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-53-wa,
bsi_2023_parcelmap_54_wv,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_54_wv.zip,
bsi_2023_parcelmap_54_wv,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-54-wv,
bsi_2023_parcelmap_55_wi,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_55_wi.zip,
bsi_2023_parcelmap_55_wi,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-55-wi,
bsi_2023_parcelmap_56_wy,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_56_wy.zip,
bsi_2023_parcelmap_56_wy,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-56-wy,
bsi_parcelmap_01_al,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_01_al.zip,
bsi_parcelmap_01_al,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-01-al,
bsi_parcelmap_02_ak,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_02_ak.zip,
bsi_parcelmap_02_ak,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-02-ak,
bsi_parcelmap_04_az,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_04_az.zip,
bsi_parcelmap_04_az,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-04-az,
bsi_parcelmap_05_ar,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_05_ar.zip,
bsi_parcelmap_05_ar,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-05-ar,
bsi_parcelmap_06_ca,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_06_ca.zip,
bsi_parcelmap_06_ca,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-06-ca,
bsi_parcelmap_08_co,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_08_co.zip,
bsi_parcelmap_08_co,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-08-co,
bsi_parcelmap_09_ct,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_09_ct.zip,
bsi_parcelmap_09_ct,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-09-ct,
bsi_parcelmap_10_de,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_10_de.zip,
bsi_parcelmap_10_de,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-10-de,
bsi_parcelmap_11_dc,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_11_dc.zip,
bsi_parcelmap_11_dc,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-11-dc,
bsi_parcelmap_12_fl,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_12_fl.zip,
bsi_parcelmap_12_fl,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-12-fl,
bsi_parcelmap_13_ga,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_13_ga.zip,
bsi_parcelmap_13_ga,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-13-ga,
bsi_parcelmap_15_hi,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_15_hi.zip,
bsi_parcelmap_15_hi,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-15-hi,
bsi_parcelmap_16_id,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_16_id.zip,
bsi_parcelmap_16_id,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-16-id,
bsi_parcelmap_17_il,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_17_il.zip,
bsi_parcelmap_17_il,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-17-il,
bsi_parcelmap_18_in,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_18_in.zip,
bsi_parcelmap_18_in,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-18-in,
bsi_parcelmap_19_ia,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_19_ia.zip,
bsi_parcelmap_19_ia,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-19-ia,
bsi_parcelmap_20_ks,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_20_ks.zip,
bsi_parcelmap_20_ks,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-20-ks,
bsi_parcelmap_21_ky,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_21_ky.zip,
bsi_parcelmap_21_ky,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-21-ky,
bsi_parcelmap_22_la,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_22_la.zip,
bsi_parcelmap_22_la,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-22-la,
bsi_parcelmap_23_me,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_23_me.zip,
bsi_parcelmap_23_me,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-23-me,
bsi_parcelmap_24_md,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_24_md.zip,
bsi_parcelmap_24_md,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-24-md,
bsi_parcelmap_25_ma,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_25_ma.zip,
bsi_parcelmap_25_ma,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-25-ma,
bsi_parcelmap_26_mi,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_26_mi.zip,
bsi_parcelmap_26_mi,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-26-mi,
bsi_parcelmap_27_mn,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_27_mn.zip,
bsi_parcelmap_27_mn,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-27-mn,
bsi_parcelmap_28_ms,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_28_ms.zip,
bsi_parcelmap_28_ms,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-28-ms,
bsi_parcelmap_29_mo,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_29_mo.zip,
